job_title,required_skills
Software Engineer,"python java c++ git data structures algorithms oops sql"
Full Stack Developer,"html css javascript react nodejs express mongodb sql git"
Frontend Developer,"html css javascript react bootstrap ui ux"
Backend Developer,"java spring boot nodejs express rest api sql mongodb"
Mobile App Developer,"flutter dart android kotlin firebase rest api"
Game Developer,"unity c# unreal engine game physics programming"
Embedded Systems Engineer,"c c++ microcontrollers embedded systems iot hardware interfacing"
Data Scientist,"python machine learning statistics pandas numpy scikit-learn sql"
Data Analyst,"excel sql tableau power bi python data visualization statistics"
Machine Learning Engineer,"python tensorflow pytorch scikit-learn deep learning mlops"
AI Engineer,"python deep learning nlp computer vision tensorflow pytorch"
NLP Engineer,"python nlp transformers bert spacy deep learning"
Computer Vision Engineer,"python opencv deep learning image processing tensorflow"
Big Data Engineer,"hadoop spark kafka hive python sql"
DevOps Engineer,"docker kubernetes aws ci/cd linux git terraform"
Cloud Engineer,"aws azure gcp cloud computing networking security linux"
Cloud Architect,"aws azure gcp cloud security architecture networking"
Cybersecurity Analyst,"network security ethical hacking cryptography firewalls penetration testing"
Ethical Hacker,"penetration testing kali linux vulnerability assessment network security"
Network Engineer,"tcp/ip routing switching firewalls network security"
Database Administrator,"sql database tuning indexing backup recovery mysql oracle"
System Administrator,"linux windows server networking troubleshooting security"
IT Support Engineer,"troubleshooting networking hardware software support"
Robotics Engineer,"robotics python control systems sensors embedded systems"
Blockchain Developer,"solidity ethereum smart contracts web3 blockchain cryptography"
UI/UX Designer,"figma adobe xd wireframing prototyping user research ui design"
Graphic Designer,"photoshop illustrator branding typography creativity"
QA Engineer,"manual testing automation testing selenium jira test cases"
Automation Test Engineer,"selenium python java automation testing test scripts"
Product Manager,"agile scrum product strategy roadmap communication stakeholder management"
Business Analyst,"excel sql requirement gathering data analysis communication documentation"
Project Manager,"agile scrum risk management budgeting leadership communication"
Marketing Manager,"digital marketing seo social media branding analytics"
SEO Specialist,"seo keyword research google analytics content marketing"
Content Writer,"content writing blogging seo research editing"
Social Media Manager,"social media marketing branding analytics communication"
HR Manager,"recruitment talent management communication payroll training"
Financial Analyst,"financial modeling excel forecasting budgeting accounting"
Accountant,"accounting taxation auditing tally financial reporting"
Investment Banker,"finance valuation mergers acquisitions financial modeling"
Civil Engineer,"autocad construction structural analysis project management"
Mechanical Engineer,"solidworks cad thermodynamics manufacturing mechanical design"
Electrical Engineer,"power systems circuit design matlab electrical machines"
Electronics Engineer,"vlsi embedded systems circuit design pcb microcontrollers"
Biomedical Engineer,"medical devices biomechanics biomedical instrumentation"
Chemical Engineer,"process engineering chemical reactions safety industrial processes"
Pharmacist,"pharmacy drug dispensing healthcare medicine"
Doctor,"diagnosis patient care medicine surgery"
Nurse,"patient care healthcare emergency response"
Psychologist,"counseling therapy mental health research"
Lawyer,"legal research litigation drafting negotiation"
Teacher,"lesson planning classroom management communication subject expertise"
Professor,"research teaching academic writing publications"
Journalist,"reporting writing investigation communication media"
Interior Designer,"autocad creativity space planning visualization"
Architect,"autocad revit building design structural planning"
Supply Chain Manager,"logistics inventory management procurement analytics"
Operations Manager,"operations management leadership planning coordination"
Entrepreneur,"business strategy innovation marketing leadership"
Data Engineer,"python sql spark etl data warehousing"
AI Researcher,"deep learning research python tensorflow mathematics"
Statistician,"statistics probability r data analysis modeling"
Economist,"economic analysis research statistics forecasting"
